TID,VI
TID_INTRO_06,Lên đường thôi! Cuộc sống mới ở nông thôn đang chờ đón chúng ta.
TID_ANIMATION_Harvest,Thu hoạch
TID_ANIMATION_Seeding,Gieo hạt
TID_ANIMATION_CropInfo,Hạt giống cây trồng được nhân lên!
TID_ANIMATION_BuyChicken,Mua 3 con Gà
TID_ANIMATION_FeedChicken,Cho Gà ăn
TID_ANIMATION_CollectEggs,Thu thập Trứng
TID_ANIMATION_BakeBread,Nướng bánh mỳ
TID_ANIMATION_6th crop,Làm thế nào để gieo thêm hạt giống?
TID_ANIMATION_EditObjects,Sắp xếp trang trại của bạn
TID_ANIMATION_Pizzas,Tìm pizza như thế nào?
TID_ANIMATION_SendLetter,Cách gửi thư
TID_DIAMOND_PACK_1,Đống Kim cương
TID_DIAMOND_PACK_2,Túi Kim cương
TID_DIAMOND_PACK_3,Bao Kim cương
TID_DIAMOND_PACK_4,Hộp Kim cương
TID_DIAMOND_PACK_5,Hòm Kim cương
TID_DIAMOND_PACK_6,Rương Kim cương
TID_DIAMOND_PACK_2_Birthday_1,Gói Sinh Nhật 1
TID_DIAMOND_PACK_3_Birthday_2,Gói Sinh Nhật 2
TID_DIAMOND_PACK_5_Birthday_3,Gói Sinh Nhật 3
TID_DIAMOND_PACK_2_Special_1,Gói Đặc Biệt 1
TID_DIAMOND_PACK_3_Special_2,Gói Đặc Biệt 2
TID_DIAMOND_PACK_5_Special_3,Gói Đặc Biệt 3
TID_CASH_PACK_1,Đống Tiền xu
TID_CASH_PACK_2,Túi Tiền xu
TID_CASH_PACK_3,Bao Tiền xu
TID_CASH_PACK_4,Hộp Tiền xu
TID_CASH_PACK_5,Hòm Tiền xu
TID_CASH_PACK_6,Rương Tiền xu
TID_BUY_DIAMONDS_TITLE,Cửa hàng Kim cương
TID_BUY_CASH_TITLE,Cửa hàng Tiền xu
TID_ORDER_SCREEN_SELECT_ORDER,Chọn một đơn hàng từ bên trái.
TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY,Đã hoàn tất việc xây dựng <NAME>
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK,Các chú vật nuôi tại trang trại đang rất nhớ bạn!
TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK_MOBILE,Các chú vật nuôi tại trang trại đang rất nhớ bạn!
TID_NOTIFICATION_CROPS_READY,Toàn bộ cây trồng đã sẵn sàng thu hoạch!
TID_NOTIFICATION_CHICKEN_READY,Trứng đã sẵn sàng thu hoạch!
TID_NOTIFICATION_COW_READY,Sữa đã sẵn sàng thu hoạch!
TID_NOTIFICATION_SHEEP_READY,Lông cừu đã sẵn sàng thu hoạch!
TID_NOTIFICATION_PIG_READY,Thịt xông khói đã sẵn sàng thu hoạch!
TID_NOTIFICATION_GOAT_READY,Sữa dê đã sẵn sàng thu hoạch!
TID_NOTIFICATION_ORDER_READY,Bạn có một đơn hàng có thể hoàn thành!
TID_NOTIFICATION_DAILY_GIFT,"Xin chào người nông dân, quà miễn phí hằng ngày đang chờ bạn đến nhận đấy!"
TID_NATIVE_DIALOG_CONNECTION_LOST_TITLE,Mất kết nối
TID_NATIVE_DIALOG_CONNECTION_LOST_MESSAGE,Bạn đã mất kết nối với máy chủ. Hãy kiểm tra kết nối Internet của bạn và thử lại.
TID_NATIVE_DIALOG_CONNECTION_LOST_BUTTON,Thử lại
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_TITLE,Mất kết nối
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_MESSAGE,Máy chủ không phản hồi. Hãy kiểm tra kết nối Internet của bạn và thử lại.
TID_NATIVE_DIALOG_GAME_SERVER_NOT_RESPONDING_BUTTON,Thử lại
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_TITLE,Mất kết nối
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_MESSAGE,Máy chủ thanh toán không phản hồi. Vui lòng thử lại sau.
TID_NATIVE_DIALOG_BILLING_SERVER_NOT_RESPONDING_BUTTON,Ok
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_TITLE,Cần cập nhật
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_MESSAGE,Đã có bản cập nhật mới! Hãy cập nhật ngay để trải nghiệm phiên bản mới nhất của trò chơi và chuẩn bị nhận phần thưởng đặc biệt. Cửa hàng sẽ sớm có Kim cương miễn phí dành cho bạn!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_BUTTON,Tải xuống
TID_NATIVE_DIALOG_LOGIN_FAILED_TITLE,Kết nối thất bại
TID_NATIVE_DIALOG_LOGIN_FAILED_MESSAGE,Không thể kết nối với máy chủ. Mã lỗi <CODE>
TID_NATIVE_DIALOG_LOGIN_FAILED_BUTTON,Thử lại
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_TITLE,Kết nối thất bại
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_MESSAGE,Không thể thiết lập kết nối với máy chủ. Hãy kiểm tra kết nối Internet của bạn và thử lại.
TID_NATIVE_DIALOG_UNABLE_TO_CONNECT_BUTTON,Thử lại
TID_FENCE_01,Hàng rào
TID_FENCE_01_DESCRIPTION,Trang trí trang trại của bạn
TID_FENCE_02,Tường đá
TID_FENCE_02_DESCRIPTION,Trang trí trang trại của bạn
TID_FENCE_03,Lối đi lát đá
TID_FENCE_03_DESCRIPTION,Trang trí trang trại của bạn
TID_FLOWERPOT_1,Hoa thược dược
TID_FLOWERPOT_1_DESCRIPTION,Thu hút bướm
TID_FLOWERBED_1,Hoa cúc
TID_FLOWERBED_1_DESCRIPTION,Thu hút bướm
TID_FLOWERBED_2,Đậu lupin
TID_FLOWERBED_2_DESCRIPTION,Thu hút bướm
TID_BARREL_1,Thùng tròn cỡ nhỏ
TID_BARREL_1_DESCRIPTION,Trang trí trang trại của bạn
TID_BARREL_2,Thùng tròn cỡ lớn
TID_BARREL_2_DESCRIPTION,Trang trí trang trại của bạn
TID_BIRDHOUSE_1,Tổ chim
TID_BIRDHOUSE_1_DESCRIPTION,Thu hút chim
TID_GAZEBO_1,Nhà hóng gió
TID_GAZEBO_1_DESCRIPTION,Trang trí trang trại của bạn
TID_LANTERN,Đèn lồng
TID_LANTERN_DESCRIPTION,Trang trí trang trại của bạn
TID_HAYCART,Xe rơm
TID_HAYCART_DESCRIPTION,Trang trí trang trại của bạn
TID_HAYBALE_1,Bó rơm
TID_HAYBALE_1_DESCRIPTION,Trang trí trang trại của bạn
TID_WHEELBARROW,Xe cút kít
TID_WHEELBARROW_DESCRIPTION,Thu hút bướm
TID_BIRDHOUSE_2,Chuồng chim
TID_BIRDHOUSE_2_DESCRIPTION,Thu hút chim
TID_GAZEBO_2,Nhà hóng mát
TID_GAZEBO_2_DESCRIPTION,Trang trí trang trại của bạn
TID_HAYBALE_2,Bó rơm mới
TID_HAYBALE_2_DESCRIPTION,Trang trí trang trại của bạn
TID_PEOPLE_ORDER_GREETING1,Xin chào! Bạn có dư món này không?
TID_PEOPLE_ORDER_GREETING2,Chào bạn! Bạn có món này trong kho không?
TID_PEOPLE_ORDER_GREETING3,Chúc buổi chiều tốt lành! Tôi đang tìm mua hàng.
TID_PEOPLE_ORDER_GREETING4,Có thể bán cho tôi món này không?
TID_PEOPLE_ORDER_GREETING5,Chào bạn! Bạn có hàng hóa để bán không?
TID_PEOPLE_ORDER_GREETING6,Xin chào! Cùng hợp tác làm ăn nhé.
TID_PEOPLE_ORDER_GREETING7,Bạn có thể bán cho tôi món này không?
TID_PEOPLE_ORDER_GREETING8,Thời tiết đẹp quá! Bạn mở cửa kinh doanh hả?
TID_PEOPLE_ORDER_GREETING9,Xin chào! Mẹ bảo tôi đi mua đồ.
TID_PEOPLE_ORDER_GREETING10,Xin chào! Tôi đang đi mua sắm cho Bà.
TID_PEOPLE_ORDER_REENGAGEMENT1,"Ồ, ồ. Bạn đã quay lại rồi. Tôi nghĩ bạn đã mua nông trại rồi chứ."
TID_PEOPLE_ORDER_REENGAGEMENT2,Nghe kỹ nè... tôi muốn mua một số thứ.
TID_PEOPLE_ORDER_REENGAGEMENT3,Tôi đang nghĩ không biết bạn đã đi đâu rồi. Chỉ là... tự hỏi trong đầu mà thôi...
TID_PEOPLE_ORDER_REENGAGEMENT4,Miễn phí những thứ này cho tôi nha? Hừm. Vậy thì thôi.
TID_PEOPLE_ORDER_REENGAGEMENT5,Lại gặp nhau rồi. Bạn có những thứ tôi cần chứ?
TID_PEOPLE_ORDER_REENGAGEMENT6,Bạn có cái áo vải dạ nào cỡ tôi mặc vừa không? Nếu không thì bạn có gì tôi mua nấy.
TID_PEOPLE_ORDER_REENGAGEMENT7,"Ái chà chà, tôi cũng rất vui khi gặp bạn!"
TID_PEOPLE_ORDER_REENGAGEMENT8,Chào mừng quay lại với trang trại! Bạn đề xuất sản phẩm gì hôm nay?
TID_PEOPLE_ORDER_REENGAGEMENT9,Tôi mua số thuốc nổ đó để làm gì ư? Tôi sẽ không nói cho bạn biết đâu.
TID_PEOPLE_ORDER_REENGAGEMENT10,Thật là một ngày đẹp trời để quay trở lại trang trại! Bà của tôi gửi lời chào đến bạn đấy.
TID_PEOPLE_ORDER_YOU_HAVE,(Bạn có:
TID_PEOPLE_ORDER_YOU_HAVE2,)
TID_DIAMONDS_TO_START_ACTION,để bắt đầu
TID_NAME_FARM_TITLE,Tên trang trại của bạn là gì?
TID_DEFAULT_FARM_NAME,Trang trại của <NAME>
TID_NAME_FARM_INPUT_FIELD_TEXT,NHẤN VÀO ĐÂY ĐỂ GHI
TID_NAME_FARM_WAITING,Đang duyệt tên...
TID_NAME_FARM_FAILED,TÊN KHÔNG HỢP LỆ!
TID_GUEST_YES,"Có, của bạn đây"
TID_GUEST_NO,"Không, rất tiếc"
TID_GUEST_CANCEL,Chờ một chút
TID_MYSTERY_BOX_TITLE,Bị khóa!
TID_MYSTERY_BOX_DESCRIPTION,Chiếc Hộp bí ẩn bạn tìm thấy đã bị khóa! Bạn có thể dùng Kim cương để mở hộp.
TID_MYSTERY_BOX_OPEN,để mở hộp
TID_SETTINGS_TITLE,Cài đặt
TID_SETTINGS_SOCIAL_MEDIA_CONNECTED,Đã kết nối - <SOCIAL_MEDIA>
TID_SETTINGS_SOCIAL_MEDIA_DISCONNECTED,Đã ngắt kết nối - <SOCIAL_MEDIA>
TID_SETTINGS_SOCIAL_MEDIA_CONNECTING,Đang kết nối - <SOCIAL_MEDIA>
TID_ABOUT_TITLE,Giới thiệu
TID_SETTING_CHANGE_NAME,Đổi tên trang trại
TID_FRIEND_BAR_SOCIAL_BUTTON_CONNECT,Kết nối
TID_ABOUT_TEXT,Hay Day (tm) V. <VERSION>\n\nBản quyền 2012-2025 Supercell Oy. Bảo lưu mọi quyền.\n\nMọi việc sử dụng phần mềm này phải tuân theo\nĐiều khoản Dịch vụ (đăng tại http://www.supercell.net/terms-of-service) và Chính sách Quyền riêng tư (đăng tại http://www.supercell.net/privacy-policy)\n\nTÁC GIẢ\n<CREDITS>\n\n
TID_FLOATER_PET_HABITAT_NEEDED,"Trước hết, hãy mua chuồng cho thú cưng!"
TID_FLOATER_PET_HABITAT_NEEDED_MOBILE,"Trước hết, hãy mua chuồng cho thú cưng!"
TID_FLOATER_PET_HABITAT_FULL,Tất cả các chuồng thú cưng đã đầy!
TID_FLOATER_PET_HABITAT_FULL_MOBILE,Tất cả các chuồng thú cưng đã đầy!
TID_FLOATER_HOUSE_COMING_SOON,Thành tích được mở khóa ở cấp <LEVEL>
TID_FLOATER_HOUSE_COMING_SOON_MOBILE,Thành tích được mở khóa ở cấp <LEVEL>
TID_FLOATER_PAINT_SHACK_COMING_SOON,Sắp có Kho chứa sơn!
TID_FLOATER_DOCK_COMING_SOON,Bến tàu và bảng xếp hạng tàu thuyền được mở khóa ở cấp <LEVEL>
TID_FLOATER_DOCK_COMING_SOON_MOBILE,Bến tàu và bảng xếp hạng tàu thuyền được mở khóa ở cấp <LEVEL>
TID_FLOATER_ROADSIDE_SHOP_COMING_SOON,Cửa hàng bên đường sẽ được mở khóa ở cấp <LEVEL>
TID_FLOATER_ROADSIDE_SHOP_COMING_SOON_MOBILE,Cửa hàng bên đường sẽ được mở khóa ở cấp <LEVEL>
TID_FLOATER_NATURAL_OBJECTS_COMING_SOON,Bạn có thể phát quang đất đai ở cấp <LEVEL>
TID_FLOATER_NATURAL_OBJECTS_COMING_SOON_MOBILE,Bạn có thể phát quang đất đai ở cấp <LEVEL>
TID_FLOATER_MAILBOX_COMING_SOON,Báo được giao ở cấp <LEVEL>
TID_FLOATER_MAILBOX_COMING_SOON_MOBILE,Báo được giao ở cấp <LEVEL>
TID_FLOATER_HABITAT_FULL,Chuồng này đã đầy. Hãy mua chuồng khác từ Cửa hàng!
TID_FLOATER_HABITAT_FULL_MOBILE,Chuồng này đã đầy. Hãy mua chuồng khác từ Cửa hàng!
TID_FLOATER_PROCESSING_BUILDING_CLAIM_BUT_WAREHOUSE_FULL,Kho vật phẩm đã đầy!
TID_FLOATER_INVALID_OBJECT_POSITION,Không đủ chỗ chứa ở đây!
TID_FLOATER_COORDINATE_NOT_IN_HABITAT,Đưa vật nuôi vào chuồng!
TID_FLOATER_BOAT_COMING_SOON,Thuyền sẽ đến ở cấp <LEVEL>
TID_FLOATER_QUEUE_FULL,Hãy thu thập vật phẩm để tạo chỗ trống cho hàng đợi sản xuất!
TID_FLOATER_PET_HUNGRY,Cho thú cưng ăn tại chuồng của chúng.
TID_FLOATER_EXPANSION_COMING_SOON,Tính năng mở rộng được mở khóa ở cấp <LEVEL>
TID_FLOATER_EXPANSION_COMING_SOON_MOBILE,Tính năng mở rộng được mở khóa ở cấp <LEVEL>
TID_FLOATER_EXPANSION_CONNECTION,Đất đai cần được liên kết với trang trại
TID_FLOATER_EXPANSION_CONNECTION_MOBILE,Đất đai cần được liên kết với trang trại
TID_FLOATER_FISHING_BOAT_COMING_SOON_TEASER,Sắp ra mắt!
TID_FLOATER_FISHING_BOAT_COMING_SOON,Thuyền đánh cá được mở khóa ở cấp <LEVEL>
TID_FLOATER_FISHING_BOAT_COMING_SOON_MOBILE,Thuyền đánh cá được mở khóa ở cấp <LEVEL>
TID_SETTING_FEEDBACK,Báo cáo sự cố
TID_ADD_FRIENDS,"Hãy cùng tôi chơi Hay Day, một trò chơi trang trại hoàn toàn mới! Làm việc ở trang trại bằng tính năng điều khiển cảm ứng tân tiến, chăm sóc những con vật nuôi đáng yêu và trao đổi hàng hóa với nhiều người chơi khác."
TID_RATE_APP_TITLE,Vui lòng đánh giá Hay Day
TID_RATE_APP_MESSAGE,Vui lòng đánh giá chúng tôi trên App Store để chúng tôi có thể tiếp tục tạo ra những trò chơi tuyệt vời!
TID_RATE_APP_LATER,Không phải lúc này
TID_RATE_APP_LATER_ANDROID,Không phải lúc này
TID_RATE_APP_REVIEW,OK
TID_RATE_APP_NEVER,Đừng hỏi lại
TID_RATE_APP_NEVER_ANDROID,Đừng hỏi lại
TID_NEED_MORE_COWBELL_TITLE,Không thể hoàn thành đơn hàng!
TID_NEED_MORE_COWBELL_TEXT,Hãy sản xuất những vật phẩm này hoặc mua từ bạn bè:
TID_FEEDBACK_EMAIL_TITLE,Phản hồi%20cho%20Hay%20Day
TID_FLOATER_ORDER_TABLE_COMING_SOON,Có thể sử dụng bảng đơn hàng từ cấp <LEVEL>
TID_FLOATER_ORDER_TABLE_COMING_SOON_MOBILE,Có thể sử dụng bảng đơn hàng từ cấp <LEVEL>
TID_WARNING_LAST_CROP_TITLE,Cảnh báo!
TID_WARNING_LAST_CROP_TEXT,Bạn sắp sử dụng hạt giống cây trồng cuối cùng. Bạn có muốn tiếp tục không?
TID_NATIVE_DIALOG_BANNED_TITLE,Kết nối thất bại
TID_NATIVE_DIALOG_BANNED_MESSAGE,Không thể thiết lập kết nối với máy chủ. Vui lòng thử lại sau.
TID_NATIVE_DIALOG_BANNED_BUTTON,Ok
TID_ACHIEVEMENT_PRETTY_FARMER,Trang trại trong mơ
TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION,Đầu tư <NUMBER> xu để trang trí trang trại của bạn
TID_ACHIEVEMENT_COMMUNITY_PROVIDER,Bíp bíp!
TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION,Hoàn thành <NUMBER> lần giao hàng bằng xe tải
TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION_MOBILE,Hoàn thành <NUMBER> lần giao hàng bằng xe tải
TID_ACHIEVEMENT_LOCAL_SELLER,Tinh tinh!
TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION,Kiếm <NUMBER> xu khi bán hàng ở cửa hàng bên đường của bạn
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER,Khách quen
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION,Bán hàng cho khách hàng đến thăm <NUMBER> lần
TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION_MOBILE,Bán hàng cho khách hàng đến thăm <NUMBER> lần
TID_ACHIEVEMENT_TURBO_HARVEST,Máy thu hoạch siêu tốc
TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION,Thu hoạch <NUMBER> mảnh ruộng trong vòng <MINUTES> phút
TID_ACHIEVEMENT_TURBO_CAR_ORDERS,Tài xế xe tải siêu tốc
TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION,Giao <NUMBER> đơn hàng xe tải trong vòng <MINUTES> phút
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS,Chăn gia súc đỉnh
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION,Thu thập <NUMBER> sản phẩm từ vật nuôi trong <MINUTES> phút
TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION_MOBILE,Thu thập <NUMBER> sản phẩm từ vật nuôi trong <MINUTES> phút
TID_ACHIEVEMENT_BONANZA,Trùm tư bản trang trại
TID_ACHIEVEMENT_BONANZA_DESCRIPTION,Xây dựng <NUMBER> công trình sản xuất
TID_ACHIEVEMENT_CITIZEN_KANE,Công dân kiểu mẫu
TID_ACHIEVEMENT_CITIZEN_KANE_DESCRIPTION,Đăng quảng cáo trên báo <NUMBER> lần
TID_ACHIEVEMENT_EGGHEAD,Vua trứng gà
TID_ACHIEVEMENT_EGGHEAD_DESCRIPTION,Thu thập <NUMBER> quả trứng
TID_ACHIEVEMENT_GOT_MILK,Có sữa không?
TID_ACHIEVEMENT_GOT_MILK_DESCRIPTION,Thu thập <NUMBER> bình sữa
TID_ACHIEVEMENT_BACONATOR,Bánh Baconator
TID_ACHIEVEMENT_BACONATOR_DESCRIPTION,Thu thập <NUMBER> miếng thịt xông khói
TID_ACHIEVEMENT_SHEEP_SHEARER,Cắt lông cừu đỉnh
TID_ACHIEVEMENT_SHEEP_SHEARER_DESCRIPTION,Thu thập <NUMBER> bộ lông cừu
TID_ACHIEVEMENT_GIFT_WRAPPING_STATION,Thành tích của Quầy gói quà
TID_ACHIEVEMENT_GIFT_WRAPPING_STATION_DESCRIPTION,Nâng mức thành thạo của Quầy gói quà lên cấp <NUMBER>
TID_ACHIEVEMENTS_TITLE,Thành tích
TID_ACHIEVEMENT_LEVEL_1,II
TID_ACHIEVEMENT_LEVEL_2,III
TID_ACHIEVEMENT_CLAIM_REWARD_BUTTON,Nhận phần thưởng
TID_ACHIEVEMENTS_COMPLETED,Đã hoàn thành: <COUNT>/<MAX>
TID_ACHIEVEMENTS_SCORE,Điểm trang trại: <SCORE>
TID_ACHIEVEMENT_POINTS_TEXT,Cấp <POINTS>
TID_NEED_MORE_FRIENDS,Cần có <NUMBER> người bạn Supercell ID mới để mở khóa!
TID_CONFIRM_RESTART_FARM_TITLE,Khởi động lại trò chơi?
TID_CONFIRM_RESTART_FARM_TEXT,"CẢNH BÁO: Nếu bạn chọn Khởi động lại, bạn sẽ mất toàn bộ tiến trình hiện tại, số tiền xu, Kim cương và các vật phẩm mua trong ứng dụng!\nGói khởi động lại có 25 viên Kim cương để giúp bạn xây dựng nông trại mới của mình."
TID_CONFIRM_RESTART_FARM_YES,Khởi động lại
TID_CONFIRM_RESTART_FARM_NO,Hủy
TID_CONFIRM_RESTART_FARM_PENDING_YES,Đang chờ máy chủ
TID_RESTART_FARM,Khởi động lại trò chơi
TID_NEXT_FREE_ADVERTISEMENT_IN_TIME,Quảng cáo miễn phí sau:
TID_ROADSIDE_SHOP_CREATE_AD,Tạo tin quảng cáo
TID_ROADSIDE_SHOP_EDIT_SALE,Chỉnh sửa hàng
TID_CONFIRM_OBJECT_TRASH_TITLE,Bạn có muốn bỏ đi vật phẩm này không?
TID_CONFIRM_OBJECT_TRASH_TEXT,Bạn có chắc chắn muốn bỏ đi vật phẩm này không? Bạn sẽ không thể lấy lại nó.
TID_CONFIRM_OBJECT_TRASH_YES,Bỏ đi
TID_CONFIRM_OBJECT_TRASH_NO,Hủy
TID_NEW_ACHIEVEMENT_GAINED,Đã mở khóa thành tích!
TID_RESTART_PACKAGE_BILLING_NAME,Gói Khởi động lại
TID_BOAT_WAITING_AT_DOCK,Thuyền rời đi sau:
TID_BOAT_BONUS_REWARD,Hoàn thành chuyến hàng:
TID_BOAT_ORDER_TITLE,Bốc xếp hàng hóa
TID_BOAT_ARRIVING_IN,Thuyền sẽ đến sau:
TID_BOAT_NEXT_ORDER,Đơn hàng tiếp theo:
TID_FLOATER_MINE_COMING_SOON,Đào kim loại quý và Kim cương ở cấp <LEVEL>!
TID_FLOATER_MINE_COMING_SOON_MOBILE,Đào kim loại quý và Kim cương ở cấp <LEVEL>!
TID_SILVER_ORE,Quặng bạc
TID_GOLD_ORE,Quặng vàng
TID_PLATINUM_ORE,Quặng bạch kim
TID_SILVER_ORE_DESCRIPTION,Khai thác từ mỏ
TID_GOLD_ORE_DESCRIPTION,Khai thác từ mỏ
TID_PLATINUM_ORE_DESCRIPTION,Khai thác từ mỏ
TID_SILVER_BAR,Thỏi bạc
TID_GOLD_BAR,Thỏi vàng
TID_PLATINUM_BAR,Thỏi bạch kim
TID_SMELTER_PRODUCT_DESCRIPTION,Sản xuất bằng Lò luyện kim
TID_SMELTER,Lò luyện kim
TID_SMELTER_DESCRIPTION,Chế biến quặng thành kim loại
TID_SMELTER_DESCRIPTION_MOBILE,Chế biến quặng thành kim loại
TID_SPEED_UP_BOAT,Thuyền cập bến ngay
TID_SEND_SHIP_POPUP_TITLE,Cho tàu nhổ neo?
TID_SEND_SHIP_POPUP_DESCRIPTION,Bạn chưa hoàn thành chuyến hàng!\n\nThuyền sẽ quay lại sau vài giờ nữa.
TID_SEND_SHIP_POPUP_YES,"Có, cho tàu nhổ neo."
TID_SEND_SHIP_POPUP_NO,"Không, tiếp tục bốc hàng."
TID_HINT_FACEBOOK_LIKE,Hãy tìm kiếm chúng tôi trên Facebook để biết mọi điều về Hay Day! Truy cập: facebook.com/HayDayOfficial
TID_HINT_FACEBOOK_LIKE_MOBILE,Hãy tìm kiếm chúng tôi trên Facebook để biết mọi điều về Hay Day! Truy cập: facebook.com/HayDayOfficial
TID_HINT_FACEBOOK_LIKE_FARMS,"Khi ghé thăm một trang trại đẹp, hãy nhấn vào hình mặt cười để thích!"
TID_HINT_FACEBOOK_LIKE_FARMS_MOBILE,"Khi ghé thăm một trang trại đẹp, hãy nhấn vào hình mặt cười để thích!"
TID_HINT_STATS,Nhấn vào sao cấp độ của bạn để xem chỉ số của trang trại.
TID_HINT_STATS_MOBILE,Nhấn vào sao cấp độ của bạn để xem chỉ số của trang trại.
TID_HINT_ROTATE,Bạn có thể di chuyển và xoay đồ vật bằng cách nhấn và giữ.
TID_HINT_ROTATE_MOBILE,Bạn có thể di chuyển và xoay đồ vật bằng cách nhấn và giữ.
TID_HINT_FAN_SWITCH,"Khi gieo hạt, bạn có thể tìm thấy nhiều loại cây trồng hơn bằng cách nhấn vào nút \qchuyển đổi\q."
TID_HINT_FAN_SWITCH_MOBILE,"Khi gieo hạt, bạn có thể tìm thấy nhiều loại cây trồng hơn bằng cách nhấn vào nút \qchuyển đổi\q."
TID_HINT_TREES,Có thể dùng Cưa và Rìu để chặt cây và phát quang bụi rậm.
TID_HINT_TREES_MOBILE,Có thể dùng Cưa và Rìu để chặt cây và phát quang bụi rậm.
TID_HINT_MINE,"Có thể dùng Thuốc nổ, Thùng TNT và Xẻng trong Mỏ."
TID_HINT_GAMECENTER_FRIENDS,Bạn cũng có thể thêm bạn bè từ Supercell ID hoặc ứng dụng Game Center!
TID_HINT_GAMECENTER_FRIENDS_ANDROID,Bạn có thể thêm bạn bè vào Hay Day khi thêm bạn bè trong Supercell ID!
TID_HINT_ROADSIDESHOP,"Để sử dụng Cửa hàng bên đường và Báo, hãy đăng nhập vào Game Center!"
TID_HINT_ROADSIDESHOP_MOBILE,CÂU HỎI_17
TID_HINT_ROADSIDESHOP_ANDROID,"Để sử dụng Cửa hàng bên đường và Báo, hãy đăng nhập vào Supercell ID!"
TID_HINT_ROADSIDESHOP_MOBILE_ANDROID,"Để sử dụng Cửa hàng bên đường và Báo, hãy đăng nhập vào Supercell ID!"
TID_HINT_GENERAL_HELP,"Hãy thu hoạch các loại cây trồng và sản xuất hàng hóa, tích trữ và bán theo nhu cầu!"
TID_HINT_GENERAL_HELP_MOBILE,"Hãy thu hoạch các loại cây trồng và sản xuất hàng hóa, tích trữ và bán theo nhu cầu!"
TID_BOAT_ARRIVING_SOON,Thuyền đang đến!
TID_NOTIFICATION_ROADSIDE_SHOP_CLEAR,Các vật phẩm trong cửa hàng bên đường của bạn đã được bán!
TID_REPAIR_DOCKS_TITLE,Sửa bến tàu không?
TID_REPAIR_DOCKS_TEXT,Hãy sửa chữa Bến tàu để thu hút Tàu thuyền và hoàn thành các chuyến hàng!
TID_REPAIR_DOCKS_TEXT_MOBILE,Hãy sửa chữa Bến tàu để thu hút Tàu thuyền và hoàn thành các chuyến hàng!
TID_REPAIR_DOCKS_YES,Bắt đầu sửa chữa
